gene_id,gene,log2.fold_change.,p_value,q_value,Sig
ENSMUSG00000003644.17,Rps6ka1,1.36646,0.00025,0.00198959,Up
ENSMUSG00000053799.6,Exoc6,1.36624,0.0013,0.00787032,Up
ENSMUSG00000032849.13,Abcc4,1.36457,5e-05,0.000496523,Up
ENSMUSG00000068615.4,Gjd2,-1.36404,0.0028,0.0146461,Down
ENSMUSG00000024486.5,Hbegf,1.36398,5e-05,0.000496523,Up
ENSMUSG00000021974.14,Fgf9,-1.36265,5e-05,0.000496523,Down
ENSMUSG00000057060.7,Slc35f3,-1.36183,1e-04,0.00091011,Down
ENSMUSG00000055799.13,Tcf7l1,1.36039,5e-05,0.000496523,Up
ENSMUSG00000036206.12,Sh3bp4,1.36029,0.0053,0.0246599,Up
ENSMUSG00000063605.5,Ccdc102a,1.3586,0.00455,0.0218833,Up
ENSMUSG00000091636.1,A330050F15Rik,-1.35784,0.00025,0.00198959,Down
ENSMUSG00000107035.1,Ybx1-ps2,1.35674,0.02015,0.071419,Up
ENSMUSG00000103497.1,Gm37407,-1.35539,0.0316,0.101177,Down
ENSMUSG00000102215.1,Gm2464,-1.35536,0.0189,0.0678794,Down
ENSMUSG00000062169.13,Cnih4,1.35471,5e-05,0.000496523,Up
ENSMUSG00000029913.14,Prdm5,1.35395,0.0016,0.00929257,Up
ENSMUSG00000052336.6,Cx3cr1,1.35314,5e-05,0.000496523,Up
ENSMUSG00000032766.9,Gng11,1.35252,5e-05,0.000496523,Up
ENSMUSG00000021890.5,Eaf1,1.35067,5e-05,0.000496523,Up
ENSMUSG00000002602.16,Axl,1.34674,5e-05,0.000496523,Up
ENSMUSG00000027474.12,Ccm2l,1.34667,0.0017,0.00977736,Up
ENSMUSG00000024937.14,Ehbp1l1,1.34594,5e-05,0.000496523,Up
ENSMUSG00000026749.11,Nek6,1.34589,0.00145,0.00856148,Up
ENSMUSG00000023055.9,Calcoco1,1.34535,2e-04,0.0016564,Up
ENSMUSG00000032123.4,Dpagt1,1.34487,5e-05,0.000496523,Up
ENSMUSG00000051043.16,Gprc5c,1.3443,0.00305,0.0157417,Up
ENSMUSG00000029007.8,Agtrap,1.34318,0.01435,0.0546673,Up
ENSMUSG00000040254.11,Sema3d,1.34295,2e-04,0.0016564,Up
ENSMUSG00000050410.15,Tcf19,1.34098,0.0011,0.00683607,Up
ENSMUSG00000027775.9,Mfsd1,1.33849,5e-05,0.000496523,Up
ENSMUSG00000067786.16,Nnat,1.33842,5e-05,0.000496523,Up
ENSMUSG00000034663.13,Bmp2k,1.33776,5e-05,0.000496523,Up
ENSMUSG00000040452.8,Cdh12,-1.33621,5e-05,0.000496523,Down
ENSMUSG00000032602.6,Slc25a20,1.33518,0.00015,0.00129406,Up
ENSMUSG00000027962.14,Vcam1,1.33468,5e-05,0.000496523,Up
ENSMUSG00000022283.14,Pabpc1,1.3344,5e-05,0.000496523,Up
ENSMUSG00000028159.14,Dapp1,1.33347,0.00065,0.00443922,Up
ENSMUSG00000038463.8,Olfml2b,1.33261,5e-05,0.000496523,Up
ENSMUSG00000030337.16,Vamp1,-1.33247,5e-05,0.000496523,Down
ENSMUSG00000055320.16,Tead1,1.33055,0.00495,0.0233551,Up
ENSMUSG00000102600.1,Gm37266,-1.3305,1e-04,0.00091011,Down
ENSMUSG00000031543.18,Ank1,-1.33037,0.00285,0.0148327,Down
ENSMUSG00000050663.7,Trhde,-1.33011,2e-04,0.0016564,Down
ENSMUSG00000016534.15,Lamp2,1.33007,5e-05,0.000496523,Up
ENSMUSG00000032562.13,Gnai2,1.32829,5e-05,0.000496523,Up
ENSMUSG00000102037.1,Bcl2a1a,1.32773,0.04035,0.120758,Up
ENSMUSG00000025175.12,Fn3k,-1.32667,5e-05,0.000496523,Down
ENSMUSG00000029545.13,Acads,1.32626,5e-05,0.000496523,Up
ENSMUSG00000058656.12,Samd12,-1.32588,0.01145,0.045708,Down
ENSMUSG00000096977.1,Gm10827,1.32442,5e-05,0.000496523,Up
ENSMUSG00000062785.13,Kcnc3,-1.32363,5e-05,0.000496523,Down
ENSMUSG00000041598.7,Cdc42ep4,1.32349,5e-05,0.000496523,Up
ENSMUSG00000004040.16,Stat3,1.32043,5e-05,0.000496523,Up
ENSMUSG00000041966.18,Dcaf17,1.31806,1e-04,0.00091011,Up
ENSMUSG00000095123.1,Gm21781,1.31785,5e-05,0.000496523,Up
ENSMUSG00000027194.16,Ttc17,-1.31761,0.01415,0.0540546,Down
ENSMUSG00000046806.13,3110062M04Rik,1.31606,0.00015,0.00129406,Up
ENSMUSG00000040713.12,Creg1,1.31561,5e-05,0.000496523,Up
ENSMUSG00000018634.10,Crhr1,-1.31464,0.00025,0.00198959,Down
ENSMUSG00000032673.5,Prorsd1,1.31446,5e-05,0.000496523,Up
ENSMUSG00000027270.14,Lamp5,-1.31323,5e-05,0.000496523,Down
ENSMUSG00000022665.14,Ccdc80,1.31314,0.01185,0.0468382,Up
ENSMUSG00000022125.6,Cln5,1.31013,2e-04,0.0016564,Up
ENSMUSG00000093485.1,Gm20708,1.30723,0.0368,0.112936,Up
ENSMUSG00000004085.14,Zak,1.30708,2e-04,0.0016564,Up
ENSMUSG00000017692.8,Rhbdl3,1.30664,0.00345,0.0174865,Up
ENSMUSG00000038539.14,Atf5,1.30557,0.0023,0.0124718,Up
ENSMUSG00000026688.5,Mgst3,-1.30377,5e-05,0.000496523,Down
ENSMUSG00000021556.11,Golm1,1.30249,5e-05,0.000496523,Up
ENSMUSG00000048163.13,Selplg,1.30203,5e-05,0.000496523,Up
ENSMUSG00000025232.7,Hexa,1.30083,5e-05,0.000496523,Up
ENSMUSG00000008999.7,Bmp7,1.29985,0.0012,0.00737635,Up
ENSMUSG00000000171.4,Sdhd,1.29947,5e-05,0.000496523,Up
ENSMUSG00000054612.3,Mgmt,1.29943,0.03585,0.110842,Up
ENSMUSG00000032540.15,Abhd5,1.29814,0.04795,0.137858,Up
ENSMUSG00000030350.8,Prmt8,-1.2981,5e-05,0.000496523,Down
ENSMUSG00000052957.7,Gas1,1.29801,2e-04,0.0016564,Up
ENSMUSG00000020520.14,Galnt10,1.29642,0.00045,0.0032788,Up
ENSMUSG00000030270.11,Cpne9,-1.29624,5e-05,0.000496523,Down
ENSMUSG00000045967.11,Gpr158,-1.29554,5e-05,0.000496523,Down
ENSMUSG00000030047.14,Arhgap25,1.29484,0.00015,0.00129406,Up
ENSMUSG00000070644.13,Etnk2,-1.29206,1e-04,0.00091011,Down
ENSMUSG00000034993.7,Vat1,1.29183,0.01625,0.060189,Up
ENSMUSG00000001240.13,Ramp2,1.29113,0.0299,0.0969331,Up
ENSMUSG00000019487.10,Trip10,1.29063,0.0026,0.0137563,Up
ENSMUSG00000027737.10,Slc7a11,1.28974,5e-05,0.000496523,Up
ENSMUSG00000074736.10,Syndig1,-1.28792,5e-05,0.000496523,Down
ENSMUSG00000019917.9,Sept10,1.28653,5e-05,0.000496523,Up
ENSMUSG00000041703.7,Zic5,1.28627,3e-04,0.00231628,Up
ENSMUSG00000053199.13,Arhgap20,-1.28413,0.00485,0.0229442,Down
ENSMUSG00000025134.2,Alyref,1.28385,0.0173,0.0632297,Up
ENSMUSG00000016481.15,Cr1l,1.28343,0.00025,0.00198959,Up
ENSMUSG00000001948.9,Spa17,1.28193,0.0275,0.0910049,Up
ENSMUSG00000024885.8,Aldh3b1,1.28185,0.00155,0.00904021,Up
ENSMUSG00000035131.14,Brinp3,-1.28129,5e-05,0.000496523,Down
ENSMUSG00000075514.4,Gm13375,-1.28034,0.0283,0.0930574,Down
ENSMUSG00000048142.9,Nat8l,-1.28017,5e-05,0.000496523,Down
ENSMUSG00000078307.2,AI593442,-1.28007,5e-05,0.000496523,Down
ENSMUSG00000086075.1,Gm15728,-1.28004,0.00255,0.0135495,Down
ENSMUSG00000026727.10,Rsu1,1.279,5e-05,0.000496523,Up
